001   -0.038696   0.153109
002   -0.043116   0.153736
003   -0.039972   0.155676
004   -0.036981   0.152212
005   -0.039455   0.158539
006   -0.040797   0.161233
007   -0.039063   0.155090
008   -0.040197   0.161446
009   -0.039793   0.159524
010   -0.036992   0.158483
011   -0.038357   0.156297
012   -0.039453   0.156311
013   -0.039617   0.158951
014   -0.036958   0.154352
015   -0.038430   0.159197
016   -0.040415   0.155506
017   -0.037110   0.155872
018   -0.039078   0.155205
019   -0.034834   0.155569
020   -0.033844   0.157283
021   0.000000   0.000000
022   -0.039952   0.159074
023   -0.033536   0.160836
024   -0.035456   0.154721
025   -0.041135   0.158972
026   -0.039450   0.159166
027   -0.038843   0.155146
028   -0.038614   0.157048
029   -0.035944   0.153329
030   -0.037894   0.152947
031   -0.036744   0.154272
032   -0.038750   0.154813
033   -0.038830   0.153744
034   -0.039449   0.154578
035   -0.037947   0.155960
036   -0.038048   0.157424
037   -0.038084   0.159754
038   -0.038877   0.156960
039   -0.041223   0.156628
040   -0.037388   0.156560
041   -0.040404   0.155543
042   -0.037295   0.156880
043   -0.035664   0.152678
044   -0.036051   0.152503
045   -0.037912   0.152969
046   -0.035382   0.154622
047   -0.034170   0.151448
048   -0.034918   0.150701
049   -0.034028   0.152400
050   -0.035197   0.155179
051   -0.035770   0.153939
052   -0.035596   0.152786
053   -0.035582   0.153066
054   -0.034903   0.151402
055   -0.039905   0.154089
056   -0.030020   0.149477
057   -0.035147   0.152739
058   -0.034982   0.154024
059   -0.036392   0.152411
060   -0.036447   0.153513
061   -0.031120   0.151075
062   -0.033746   0.151788
063   -0.011294   0.137412
064   -0.037228   0.150756
065   -0.033371   0.151889
066   -0.035427   0.153030
067   -0.038039   0.152219
068   -0.035063   0.150531
069   -0.036554   0.152208
070   -0.032707   0.152972
071   -0.036476   0.150486
072   -0.035376   0.151320
073   -0.035328   0.151863
074   -0.032452   0.147680
075   -0.037507   0.149865
076   -0.034677   0.149766
077   -0.034995   0.155110
078   -0.033355   0.149273
079   -0.034298   0.152437
080   -0.036448   0.148848
081   -0.035700   0.148496
082   -0.035622   0.150215
083   -0.031670   0.147949
084   -0.033383   0.149785
085   -0.033183   0.148615
086   -0.033079   0.148549
087   -0.034432   0.149148
088   -0.034332   0.148404
089   -0.032985   0.149150
090   -0.033088   0.148863
091   -0.031443   0.145687
092   -0.033694   0.147266
093   -0.031811   0.147142
094   -0.030650   0.148280
095   -0.033881   0.147713
096   -0.030359   0.147101
097   -0.033260   0.146225
098   -0.031724   0.145072
099   -0.033122   0.148292
100   -0.028811   0.146390
101   -0.029200   0.147730
102   -0.028540   0.143522
