001   -0.078239   0.212460
002   -0.064793   0.228251
003   -0.065548   0.226290
004   -0.070186   0.216452
005   -0.071190   0.221181
006   -0.063601   0.226914
007   -0.066929   0.218808
008   -0.065333   0.224342
009   -0.064800   0.220333
010   -0.064111   0.220073
011   -0.067379   0.217346
012   -0.063432   0.220403
013   -0.067645   0.224021
014   -0.066752   0.222547
015   -0.066225   0.223576
016   -0.069052   0.220943
017   -0.070018   0.218386
018   -0.065406   0.221518
019   -0.066847   0.214928
020   -0.066941   0.223296
021   0.000000   0.000000
022   -0.067522   0.217162
023   -0.064446   0.219739
024   -0.065256   0.216646
025   -0.060610   0.218704
026   -0.064965   0.219929
027   -0.061298   0.216510
028   -0.062101   0.214318
029   -0.065025   0.216775
030   -0.066563   0.214219
031   -0.062978   0.220104
032   -0.062568   0.217864
033   -0.061829   0.221018
034   -0.059948   0.216781
035   -0.064099   0.216184
036   -0.062312   0.217691
037   -0.058812   0.217275
038   -0.060282   0.219111
039   -0.059642   0.222776
040   -0.063605   0.216860
041   -0.061761   0.215579
042   -0.059982   0.217142
043   -0.060798   0.216664
044   -0.059763   0.212365
045   -0.061027   0.218847
046   -0.064852   0.214341
047   -0.064587   0.212062
048   -0.060698   0.213990
049   -0.060524   0.214479
050   -0.061852   0.218170
051   -0.061152   0.217559
052   -0.065008   0.213959
053   -0.061185   0.211176
054   -0.061175   0.214767
055   -0.059328   0.213962
056   -0.055720   0.212638
057   -0.056753   0.213785
058   -0.058800   0.211220
059   -0.057996   0.211242
060   -0.055295   0.210361
061   -0.057990   0.214245
062   -0.055585   0.213352
063   -0.062745   0.218550
064   -0.055839   0.212082
065   -0.057673   0.211414
066   -0.059266   0.213399
067   -0.059379   0.209672
068   -0.057902   0.209732
069   -0.059952   0.210201
070   -0.055426   0.210068
071   -0.058356   0.207534
072   -0.054391   0.212187
073   -0.056281   0.213947
074   -0.060491   0.211398
075   -0.053428   0.214719
076   -0.055633   0.211356
077   -0.055949   0.206150
078   -0.053386   0.212166
079   -0.052580   0.209887
080   -0.054809   0.213244
081   -0.052403   0.214387
082   -0.049221   0.211630
083   -0.055160   0.209863
084   -0.051689   0.207816
085   -0.051055   0.207558
086   -0.052573   0.207232
087   -0.055062   0.205758
088   -0.053977   0.207097
089   -0.052284   0.207068
090   -0.055638   0.206300
091   -0.052051   0.209243
092   -0.049819   0.211454
093   -0.051405   0.209709
094   -0.049325   0.209065
095   -0.051769   0.205672
096   -0.051310   0.206301
097   -0.050499   0.204083
098   -0.050964   0.207360
099   -0.047792   0.202795
100   -0.048327   0.207401
101   -0.049872   0.209568
102   -0.051081   0.205335
